,Area of Impact,Case Number,Event Number,Standard of Evenidence,Vehicle 1,Vehicle 2
2,Not Reported,62224,3,Parked Motor Vehicle ,1,3
0,12 Clock Point,62225,1,Pedestrian,1,9999
0,12 Clock Point,62226,1,Pedestrian,1,9999
0,12 Clock Point,62226,1,Pedestrian,1,9999
0,12 Clock Point,62228,1,Motor Vehicle In-Transport ,2,1
1,Non-Harmful Event,62228,2,Ran Off Roadway - Left,2,5555
2,12 Clock Point,62228,3,Guardrail Face,2,9999
3,Non-Harmful Event,62228,4,Ran Off Roadway - Right,1,5555
4,Left,62228,5,Guardrail Face,1,9999
5,Non-Collision,62228,6,Rollover/Overturn,2,9999
6,Left-Back Side,62228,7,Guardrail Face,1,9999
0,12 Clock Point,62232,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,62232,2,Ran Off Roadway - Left,1,5555
2,Left,62232,3,Guardrail Face,1,9999
3,Non-Harmful Event,62232,4,Ran Off Roadway - Left,2,5555
4,Left,62232,5,Guardrail Face,2,9999
5,Non-Collision,62232,6,Rollover/Overturn,2,9999
6,Non-Collision,62232,7,Fire/Explosion,1,9999
0,Non-Harmful Event,62233,1,Cross Centerline,1,5555
1,12 Clock Point,62233,2,Motor Vehicle In-Transport ,1,2
2,Non-Collision,62233,3,Rollover/Overturn,1,9999
0,12 Clock Point,62238,1,Pedestrian,1,9999
0,Non-Harmful Event,62239,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62239,2,Curb,1,9999
0,Non-Harmful Event,62239,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62239,2,Curb,1,9999
0,Non-Harmful Event,62240,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,62240,2,Curb,1,9999
2,Left-Front Side,62240,3,Traffic Sign Support ,1,9999
0,Non-Harmful Event,62241,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62241,2,Concrete Traffic Barrier,1,9999
2,Non-Harmful Event,62241,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,62241,4,Ran Off Roadway - Left,1,5555
4,Not Reported,62241,5,Concrete Traffic Barrier,1,9999
0,Non-Harmful Event,62241,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62241,2,Concrete Traffic Barrier,1,9999
2,Non-Harmful Event,62241,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,62241,4,Ran Off Roadway - Left,1,5555
4,Not Reported,62241,5,Concrete Traffic Barrier,1,9999
0,Non-Harmful Event,62243,1,Ran Off Roadway - Right,1,5555
1,Right-Front Side,62243,2,Guardrail Face,1,9999
2,Non-Harmful Event,62243,3,Re-entering Roadway,1,5555
3,Non-Collision,62243,4,Rollover/Overturn,1,9999
4,Not Reported,62243,5,Motor Vehicle In-Transport ,1,2
5,Non-Harmful Event,62243,6,Ran Off Roadway - Right,2,5555
6,Not Reported,62243,7,Other Fixed Object,2,9999
0,Non-Harmful Event,62246,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62246,2,Other Fixed Object,1,9999
2,Non-Harmful Event,62246,3,Vehicle Went Airborne,1,5555
3,12 Clock Point,62246,4,Boulder,1,9999
0,12 Clock Point,62247,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,62255,1,Ran Off Roadway - Left,1,9999
1,Non-Harmful Event,62255,2,Re-entering Roadway,1,9999
2,Non-Harmful Event,62255,3,Ran Off Roadway - Right,1,9999
3,Not Reported,62255,4,Embankment,1,9999
4,Non-Collision,62255,5,Rollover/Overturn,1,9999
0,12 Clock Point,62256,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,62256,2,Motor Vehicle In-Transport ,1,3
2,12 Clock Point,62256,3,Motor Vehicle In-Transport ,1,4
0,1 Clock Point,62257,1,Motor Vehicle In-Transport ,1,2
0,1 Clock Point,62257,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,62260,1,Cross Centerline,1,5555
1,Non-Harmful Event,62260,2,Ran Off Roadway - Left,1,5555
2,Not Reported,62260,3,Mail Box,1,9999
3,Not Reported,62260,4,Tree (Standing Only),1,9999
4,Set-In-Motion (Not a Clock Point),62260,5,Parked Motor Vehicle ,1,2
5,Not Reported,62260,6,Tree (Standing Only),1,9999
6,Non-Harmful Event,62260,7,Re-entering Roadway,1,5555
7,Non-Harmful Event,62260,8,Ran Off Roadway - Right,1,5555
8,Not Reported,62260,9,Fence,1,9999
0,Not Reported,62262,1,Pedestrian,1,9999
0,Not Reported,62262,1,Pedestrian,1,9999
0,Non-Harmful Event,62265,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,62265,2,Re-entering Roadway,1,5555
2,Non-Collision,62265,3,Rollover/Overturn,1,9999
0,Non-Harmful Event,62267,1,Ran Off Roadway - Right,1,9999
1,Undercarriage,62267,2,Curb,1,9999
2,9 Clock Point,62267,3,Tree (Standing Only),1,9999
0,Non-Harmful Event,62269,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62269,2,Guardrail Face,1,9999
0,Non-Harmful Event,62269,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62269,2,Guardrail Face,1,9999
0,Right-Front Side,62275,1,Pedestrian,1,9999
0,12 Clock Point,62276,1,Pedestrian,1,9999
0,12 Clock Point,62277,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,62279,1,Ran Off Roadway - Left,1,5555
1,Non-Harmful Event,62279,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,62279,3,Ran Off Roadway - Right,1,5555
3,Non-Collision,62279,4,Rollover/Overturn,1,9999
0,Non-Harmful Event,62281,1,Ran Off Roadway - Left,1,5555
1,Left,62281,2,Curb,1,9999
2,Non-Collision,62281,3,Rollover/Overturn,1,9999
0,Non-Harmful Event,62281,1,Ran Off Roadway - Left,1,5555
1,Left,62281,2,Curb,1,9999
2,Non-Collision,62281,3,Rollover/Overturn,1,9999
0,Non-Collision,62282,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,62282,2,Cross Centerline,1,5555
2,12 Clock Point,62282,3,Motor Vehicle In-Transport ,1,2
0,Non-Collision,62282,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,62282,2,Cross Centerline,1,5555
2,12 Clock Point,62282,3,Motor Vehicle In-Transport ,1,2
0,2 Clock Point,62283,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,62283,2,Motor Vehicle In-Transport ,1,3
2,Non-Collision,62283,3,Fire/Explosion,1,9999
3,Non-Collision,62283,4,Fire/Explosion,3,9999
4,12 Clock Point,62283,5,Motor Vehicle In-Transport ,3,4
5,12 Clock Point,62283,6,Motor Vehicle In-Transport ,1,5
0,12 Clock Point,62285,1,Pedestrian,1,9999
0,12 Clock Point,62288,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,62288,2,Ran Off Roadway - Left,1,5555
2,Not Reported,62288,3,Curb,1,9999
3,Not Reported,62288,4,Traffic Sign Support ,1,9999
4,Non-Collision,62288,5,Rollover/Overturn,1,9999
5,Not Reported,62288,6,Traffic Sign Support ,1,9999
6,Left-Back Side,62288,7,Motor Vehicle In-Transport ,2,3
7,12 Clock Point,62288,8,Motor Vehicle In-Transport ,3,4
0,12 Clock Point,62288,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,62288,2,Ran Off Roadway - Left,1,5555
2,Not Reported,62288,3,Curb,1,9999
3,Not Reported,62288,4,Traffic Sign Support ,1,9999
4,Non-Collision,62288,5,Rollover/Overturn,1,9999
5,Not Reported,62288,6,Traffic Sign Support ,1,9999
6,Left-Back Side,62288,7,Motor Vehicle In-Transport ,2,3
7,12 Clock Point,62288,8,Motor Vehicle In-Transport ,3,4
0,12 Clock Point,62289,1,Pedestrian,1,9999
0,Not Reported,62290,1,Pedestrian,1,9999
0,Not Reported,62290,1,Pedestrian,1,9999
0,12 Clock Point,62291,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,62291,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,62291,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,62293,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62293,2,Guardrail Face,1,9999
2,Other Objects Set-In-Motion,62293,3,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
3,Not Reported,62293,4,Guardrail Face,1,9999
0,Non-Harmful Event,62295,1,Ran Off Roadway - Left,1,5555
1,Non-Harmful Event,62295,2,Cross Median,1,5555
2,3 Clock Point,62295,3,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,62299,1,Pedestrian,1,9999
0,Right-Front Side,62300,1,Motor Vehicle In-Transport ,2,1
1,Non-Harmful Event,62300,2,Ran Off Roadway - Right,1,5555
2,Non-Harmful Event,62300,3,Ran Off Roadway - Right,2,5555
3,Non-Collision,62300,4,Rollover/Overturn,2,9999
4,Not Reported,62300,5,Tree (Standing Only),2,9999
5,12 Clock Point,62300,6,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,62302,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,62302,2,Pedestrian,1,9999
0,12 Clock Point,62305,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,62305,2,Rollover/Overturn,2,9999
0,Non-Harmful Event,62309,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,62309,2,Parked Motor Vehicle ,1,2
2,Other Objects Set-In-Motion,62309,3,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
0,Non-Harmful Event,62309,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,62309,2,Parked Motor Vehicle ,1,2
2,Other Objects Set-In-Motion,62309,3,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
0,12 Clock Point,62310,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,62310,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,62312,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,62312,2,Pedestrian,1,9999
0,Non-Harmful Event,62312,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,62312,2,Pedestrian,1,9999
0,Non-Harmful Event,62312,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,62312,2,Pedestrian,1,9999
0,Non-Harmful Event,62313,1,Ran Off Roadway - Left,1,5555
1,Not Reported,62313,2,Embankment,1,9999
2,Non-Collision,62313,3,Rollover/Overturn,1,9999
0,Non-Harmful Event,62314,1,Cross Centerline,1,9999
1,Left,62314,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,62314,3,Cross Centerline,1,9999
3,Non-Collision,62314,4,Rollover/Overturn,3,9999
4,Non-Harmful Event,62314,5,Ran Off Roadway - Right,1,9999
5,Undercarriage,62314,6,Fence,1,9999
0,Non-Harmful Event,62314,1,Cross Centerline,1,9999
1,Left,62314,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,62314,3,Cross Centerline,1,9999
3,Non-Collision,62314,4,Rollover/Overturn,3,9999
4,Non-Harmful Event,62314,5,Ran Off Roadway - Right,1,9999
5,Undercarriage,62314,6,Fence,1,9999
0,Non-Collision,62315,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,62315,2,Ran Off Roadway - Right,1,5555
2,Not Reported,62315,3,Parked Motor Vehicle ,1,2
0,9 Clock Point,62316,1,Motor Vehicle In-Transport ,1,2
0,Right,62317,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,62317,2,Ran Off Roadway - Right,2,5555
2,Non-Harmful Event,62317,3,Ran Off Roadway - Right,1,5555
3,Not Reported,62317,4,Culvert,2,9999
4,Not Reported,62317,5,Embankment,1,9999
5,Non-Collision,62317,6,Rollover/Overturn,1,9999
0,Right,62317,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,62317,2,Ran Off Roadway - Right,2,5555
2,Non-Harmful Event,62317,3,Ran Off Roadway - Right,1,5555
3,Not Reported,62317,4,Culvert,2,9999
4,Not Reported,62317,5,Embankment,1,9999
5,Non-Collision,62317,6,Rollover/Overturn,1,9999
0,12 Clock Point,62320,1,Pedestrian,1,9999
0,Non-Harmful Event,62321,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,62321,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,62321,3,Cross Centerline,1,5555
3,Non-Harmful Event,62321,4,Ran Off Roadway - Left,1,5555
4,Left-Back Half,62321,5,Tree (Standing Only),1,9999
5,Non-Harmful Event,62321,6,Vehicle Went Airborne,1,5555
6,Left-Front Half,62321,7,Tree (Standing Only),1,9999
7,Non-Collision,62321,8,Rollover/Overturn,1,9999
0,Non-Harmful Event,62321,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,62321,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,62321,3,Cross Centerline,1,5555
3,Non-Harmful Event,62321,4,Ran Off Roadway - Left,1,5555
4,Left-Back Half,62321,5,Tree (Standing Only),1,9999
5,Non-Harmful Event,62321,6,Vehicle Went Airborne,1,5555
6,Left-Front Half,62321,7,Tree (Standing Only),1,9999
7,Non-Collision,62321,8,Rollover/Overturn,1,9999
0,12 Clock Point,62322,1,Non-Motorist on Personal Conveyance,1,9999
0,12 Clock Point,62322,1,Non-Motorist on Personal Conveyance,1,9999
0,12 Clock Point,62323,1,Motor Vehicle In-Transport ,1,2
0,Left-Front Side,62326,1,Pedestrian,1,9999
0,Non-Harmful Event,62327,1,Ran Off Roadway - Right,1,5555
1,5 Clock Point,62327,2,Wall,1,9999
2,5 Clock Point,62327,3,Boulder,1,9999
3,Non-Harmful Event,62327,4,Re-entering Roadway,1,5555
4,Non-Harmful Event,62327,5,Cross Centerline,1,5555
5,8 Clock Point,62327,6,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,62327,1,Ran Off Roadway - Right,1,5555
1,5 Clock Point,62327,2,Wall,1,9999
2,5 Clock Point,62327,3,Boulder,1,9999
3,Non-Harmful Event,62327,4,Re-entering Roadway,1,5555
4,Non-Harmful Event,62327,5,Cross Centerline,1,5555
5,8 Clock Point,62327,6,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,62329,1,Ran Off Roadway - Right,1,5555
1,Right,62329,2,Other Fixed Object,1,9999
0,Non-Harmful Event,62330,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,62330,2,Curb,1,9999
2,Non-Collision,62330,3,Fell/Jumped from Vehicle,1,9999
3,Not Reported,62330,4,Embankment,1,9999
0,Non-Harmful Event,62333,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62333,2,Other Object (not fixed),1,9999
2,12 Clock Point,62333,3,Utility Pole/Light Support,1,9999
3,Non-Collision,62333,4,Rollover/Overturn,1,9999
4,Non-Collision,62333,5,Thrown or Falling Object,1,9999
0,Non-Harmful Event,62333,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62333,2,Other Object (not fixed),1,9999
2,12 Clock Point,62333,3,Utility Pole/Light Support,1,9999
3,Non-Collision,62333,4,Rollover/Overturn,1,9999
4,Non-Collision,62333,5,Thrown or Falling Object,1,9999
0,12 Clock Point,62335,1,Pedestrian,1,9999
0,12 Clock Point,62336,1,Pedestrian,1,9999
0,Right,62337,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,62338,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,62338,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,62338,3,Cross Centerline,1,5555
3,Non-Harmful Event,62338,4,Ran Off Roadway - Left,1,5555
4,Not Reported,62338,5,Shrubbery,1,9999
5,Non-Collision,62338,6,Rollover/Overturn,1,9999
6,Left,62338,7,Boulder,1,9999
0,12 Clock Point,62340,1,Pedestrian,1,9999
0,Non-Harmful Event,62342,1,Ran Off Roadway - Left,1,5555
1,11 Clock Point,62342,2,Curb,1,9999
2,Not Reported,62342,3,Traffic Sign Support ,1,9999
3,Not Reported,62342,4,Shrubbery,1,9999
4,Non-Harmful Event,62342,5,Cross Median,1,5555
5,12 Clock Point,62342,6,Motor Vehicle In-Transport ,1,2
6,Non-Collision,62342,7,Rollover/Overturn,1,9999
7,Non-Collision,62342,8,Fire/Explosion,1,9999
8,12 Clock Point,62342,9,Motor Vehicle In-Transport ,3,2
0,Non-Harmful Event,62344,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,62344,2,Concrete Traffic Barrier,1,9999
2,Non-Collision,62344,3,Rollover/Overturn,1,9999
0,Non-Harmful Event,62345,1,Cross Centerline,1,9999
1,Non-Harmful Event,62345,2,Ran Off Roadway - Left,1,9999
2,Left-Front Half,62345,3,Utility Pole/Light Support,1,9999
3,Not Reported,62345,4,Fence,1,9999
0,Non-Harmful Event,62347,1,Ran Off Roadway - Right,1,5555
1,2 Clock Point,62347,2,Pedestrian,1,9999
2,Not Reported,62347,3,Curb,1,9999
3,Not Reported,62347,4,Other Fixed Object,1,9999
4,Not Reported,62347,5,Other Fixed Object,1,9999
5,12 Clock Point,62347,6,Tree (Standing Only),1,9999
0,Non-Harmful Event,62348,1,Cross Centerline,1,5555
1,Right-Front Side,62348,2,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,62353,1,Cross Centerline,1,5555
1,12 Clock Point,62353,2,Motor Vehicle In-Transport ,1,2
2,Left,62353,3,Motor Vehicle In-Transport ,1,3
0,Non-Harmful Event,62355,1,Ran Off Roadway - Left,1,5555
1,Left-Front Side,62355,2,Concrete Traffic Barrier,1,9999
2,Left-Front Side,62355,3,Concrete Traffic Barrier,1,9999
3,Non-Harmful Event,62355,4,Re-entering Roadway,1,5555
4,12 Clock Point,62355,5,Motor Vehicle In-Transport ,1,2
5,Non-Collision,62355,6,Fire/Explosion,1,9999
6,Non-Collision,62355,7,Fire/Explosion,2,9999
0,Non-Collision,62361,1,Rollover/Overturn,1,9999
0,Left,62363,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,62363,2,Ran Off Roadway - Right,1,5555
2,Right,62363,3,Concrete Traffic Barrier,1,9999
3,Right,62363,4,Bridge Rail (Includes parapet),1,9999
4,Non-Harmful Event,62363,5,Vehicle Went Airborne,1,5555
5,Non-Collision,62363,6,Rollover/Overturn,1,9999
0,Left,62363,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,62363,2,Ran Off Roadway - Right,1,5555
2,Right,62363,3,Concrete Traffic Barrier,1,9999
3,Right,62363,4,Bridge Rail (Includes parapet),1,9999
4,Non-Harmful Event,62363,5,Vehicle Went Airborne,1,5555
5,Non-Collision,62363,6,Rollover/Overturn,1,9999
0,Non-Harmful Event,62364,1,Cross Centerline,1,5555
1,Left-Front Side,62364,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,62364,3,Ran Off Roadway - Right,2,5555
3,6 Clock Point,62364,4,Guardrail Face,2,9999
0,Non-Harmful Event,62368,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,62368,2,Boulder,1,9999
2,12 Clock Point,62368,3,Traffic Sign Support ,1,9999
3,12 Clock Point,62368,4,Traffic Sign Support ,1,9999
4,12 Clock Point,62368,5,Other Fixed Object,1,9999
5,12 Clock Point,62368,6,Boulder,1,9999
6,12 Clock Point,62368,7,Boulder,1,9999
7,Non-Collision,62368,8,Rollover/Overturn,1,9999
8,9 Clock Point,62368,9,Tree (Standing Only),1,9999
0,Not Reported,62369,1,Pedestrian,1,9999
0,Not Reported,62369,1,Pedestrian,1,9999
0,3 Clock Point,62371,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,62372,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,62372,2,Ran Off Roadway - Right,2,5555
2,Not Reported,62372,3,Curb,2,9999
0,Non-Harmful Event,62373,1,Ran Off Roadway - Right,1,5555
1,Non-Collision,62373,2,Rollover/Overturn,1,9999
2,Not Reported,62373,3,Guardrail Face,1,9999
0,7 Clock Point,62374,1,Motor Vehicle In-Transport ,1,2
0,7 Clock Point,62374,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,62376,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62376,2,Fence,1,9999
2,Non-Harmful Event,62376,3,Re-entering Roadway,1,5555
3,12 Clock Point,62376,4,Pedestrian,1,9999
4,Other Objects Set-In-Motion,62376,5,Boulder,1,9999
5,Non-Harmful Event,62376,6,Ran Off Roadway - Left,1,5555
6,Not Reported,62376,7,Fence,1,9999
7,Non-Collision,62376,8,Rollover/Overturn,1,9999
0,12 Clock Point,62379,1,Pedestrian,1,9999
0,12 Clock Point,62379,1,Pedestrian,1,9999
0,12 Clock Point,62381,1,Pedestrian,1,9999
0,Non-Harmful Event,62382,1,Ran Off Roadway - Right,1,9999
1,Undercarriage,62382,2,Curb,1,9999
2,12 Clock Point,62382,3,Utility Pole/Light Support,1,9999
3,12 Clock Point,62382,4,Building,1,9999
4,12 Clock Point,62382,5,Parked Motor Vehicle ,1,2
0,Non-Harmful Event,62383,1,Cross Centerline,1,5555
1,Non-Harmful Event,62383,2,Cross Centerline,1,5555
2,Non-Harmful Event,62383,3,Cross Centerline,1,5555
3,Non-Harmful Event,62383,4,Cross Centerline,1,5555
4,Non-Harmful Event,62383,5,Ran Off Roadway - Right,1,5555
5,12 Clock Point,62383,6,Wall,1,9999
0,12 Clock Point,62384,1,Pedestrian,1,9999
0,12 Clock Point,62384,1,Pedestrian,1,9999
0,Right,62388,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,62388,2,Ran Off Roadway - Left,1,5555
2,7 Clock Point,62388,3,Concrete Traffic Barrier,1,9999
3,Undercarriage,62388,4,Concrete Traffic Barrier,1,9999
4,11 Clock Point,62388,5,Concrete Traffic Barrier,1,9999
5,Top,62388,6,Bridge Pier or Support,1,9999
6,Non-Harmful Event,62388,7,Cargo/Equipment Loss or Shift (non-harmful) ,1,5555
7,Cargo/Vehicle Parts Set-In-Motion,62388,8,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
8,Non-Collision,62388,9,Rollover/Overturn,1,9999
0,12 Clock Point,62390,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,62390,2,Ran Off Roadway - Left,1,5555
2,Not Reported,62390,3,Wall,1,9999
0,12 Clock Point,62391,1,Pedestrian,1,9999
0,12 Clock Point,62391,1,Pedestrian,1,9999
0,Non-Harmful Event,62392,1,Ran Off Roadway - Left,1,5555
1,Non-Harmful Event,62392,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,62392,3,Ran Off Roadway - Right,1,5555
3,Not Reported,62392,4,Curb,1,9999
4,Non-Collision,62392,5,Rollover/Overturn,1,9999
5,Not Reported,62392,6,Tree (Standing Only),1,9999
0,12 Clock Point,62394,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,62394,2,Fire/Explosion,1,9999
0,12 Clock Point,62396,1,Pedestrian,1,9999
0,12 Clock Point,62396,1,Pedestrian,1,9999
0,Non-Collision,62397,1,Rollover/Overturn,2,9999
1,Not Reported,62397,2,Motor Vehicle In-Transport ,2,1
2,Non-Harmful Event,62397,3,Ran Off Roadway - Right,2,5555
3,Not Reported,62397,4,Utility Pole/Light Support,2,9999
0,Non-Harmful Event,62398,1,Ran Off Roadway - Left,1,9999
1,Right,62398,2,Guardrail Face,1,9999
2,Unknown,62398,3,Other Fixed Object,1,9999
3,Non-Collision,62398,4,Rollover/Overturn,1,9999
0,12 Clock Point,62402,1,Pedalcyclist,1,9999
0,Non-Harmful Event,62403,1,Cross Centerline,1,5555
1,12 Clock Point,62403,2,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,62409,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,62409,2,Motor Vehicle In-Transport ,2,4
2,Set-In-Motion (Not a Clock Value),62409,3,Motor Vehicle In-Transport ,2,3
0,12 Clock Point,62410,1,Motor Vehicle In-Transport ,2,1
1,Non-Harmful Event,62410,2,Ran Off Roadway - Left,2,5555
2,Left-Front Side,62410,3,Wall,2,9999
3,Non-Collision,62410,4,Fire/Explosion,1,9999
0,12 Clock Point,62416,1,Pedestrian,1,9999
0,12 Clock Point,62418,1,Pedestrian,1,9999
1,12 Clock Point,62418,2,Pedestrian,1,9999
0,12 Clock Point,62418,1,Pedestrian,1,9999
1,12 Clock Point,62418,2,Pedestrian,1,9999
0,12 Clock Point,62421,1,Pedestrian,1,9999
0,Non-Harmful Event,62422,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62422,2,Curb,1,9999
2,Not Reported,62422,3,Guardrail Face,1,9999
3,Other Objects Set-In-Motion,62422,4,Guardrail Face,1,9999
0,Non-Harmful Event,62427,1,Ran Off Roadway - Left,1,5555
1,Not Reported,62427,2,Concrete Traffic Barrier,1,9999
2,6 Clock Point,62427,3,Concrete Traffic Barrier,1,9999
3,Non-Collision,62427,4,Rollover/Overturn,1,9999
0,Non-Collision,62430,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,62430,2,Ran Off Roadway - Left,1,5555
2,Not Reported,62430,3,Guardrail Face,1,9999
0,12 Clock Point,62432,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,62432,2,Motor Vehicle In-Transport ,2,3
0,Non-Harmful Event,62435,1,Ran Off Roadway - Right,1,9999
1,12 Clock Point,62435,2,Other Fixed Object,1,9999
2,Unknown,62435,3,Embankment,1,9999
3,Non-Collision,62435,4,Rollover/Overturn,1,9999
4,Unknown,62435,5,Fence,1,9999
0,Non-Harmful Event,62436,1,Ran Off Roadway - Left,1,5555
1,Non-Harmful Event,62436,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,62436,3,Ran Off Roadway - Right,1,5555
3,Not Reported,62436,4,Tree (Standing Only),1,9999
4,3 Clock Point,62436,5,Tree (Standing Only),1,9999
5,Non-Collision,62436,6,Rollover/Overturn,1,9999
0,11 Clock Point,62437,1,Pedestrian,1,9999
0,12 Clock Point,62439,1,Pedestrian,1,9999
1,Undercarriage,62439,2,Pedestrian,2,9999
0,12 Clock Point,62439,1,Pedestrian,1,9999
1,Undercarriage,62439,2,Pedestrian,2,9999
0,Reported as Unknown,62442,1,Pedestrian,1,9999
1,Not Reported,62442,2,Pedestrian,2,9999
0,12 Clock Point,62443,1,Pedestrian,1,9999
0,12 Clock Point,62443,1,Pedestrian,1,9999
0,12 Clock Point,62443,1,Pedestrian,1,9999
0,12 Clock Point,62445,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,62445,2,Fire/Explosion,2,9999
0,Non-Harmful Event,62447,1,Ran Off Roadway - Right,1,5555
1,4 Clock Point,62447,2,Bridge Overhead Structure,1,9999
2,Non-Collision,62447,3,Rollover/Overturn,1,9999
0,Non-Harmful Event,62448,1,Ran Off Roadway - Right,1,5555
1,Right,62448,2,Guardrail Face,1,9999
2,Non-Harmful Event,62448,3,Re-entering Roadway,1,5555
3,12 Clock Point,62448,4,Motor Vehicle In-Transport ,1,2
4,Left-Back Side,62448,5,Motor Vehicle In-Transport ,1,3
5,Left,62448,6,Motor Vehicle In-Transport ,2,4
6,12 Clock Point,62448,7,Motor Vehicle In-Transport ,2,5
7,Non-Collision,62448,8,Rollover/Overturn,5,9999
8,12 Clock Point,62448,9,Motor Vehicle In-Transport ,2,6
0,Non-Harmful Event,62453,1,Cross Centerline,1,9999
1,Non-Harmful Event,62453,2,Cross Centerline,1,9999
2,Non-Harmful Event,62453,3,Ran Off Roadway - Right,1,9999
3,Non-Collision,62453,4,Rollover/Overturn,1,9999
4,12 Clock Point,62453,5,Tree (Standing Only),1,9999
0,Non-Harmful Event,62453,1,Cross Centerline,1,9999
1,Non-Harmful Event,62453,2,Cross Centerline,1,9999
2,Non-Harmful Event,62453,3,Ran Off Roadway - Right,1,9999
