,Case Number,Area of Impact,Standard of Evenidence,Event Number,Vehicle 1,Vehicle 2
2,62124,Non-Harmful Event,Ran Off Roadway - Left,3,1,5555
3,62124,Undercarriage,Curb,4,1,9999
4,62124,Non-Collision,Rollover/Overturn,5,1,9999
0,62124,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,62124,12 Clock Point,Parked Motor Vehicle ,2,1,2
2,62124,Other Objects Set-In-Motion,Building,3,1,9999
3,62124,12 Clock Point,Parked Motor Vehicle ,4,1,3
0,62131,Non-Collision,Rollover/Overturn,1,1,9999
0,62132,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62132,12 Clock Point,Curb,2,1,9999
2,62132,Not Reported,Guardrail Face,3,1,9999
3,62132,Other Objects Set-In-Motion,Embankment,4,1,9999
4,62132,Other Objects Set-In-Motion,Fence,5,1,9999
0,62133,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,62133,12 Clock Point,Motor Vehicle In-Transport ,2,2,3
0,62141,12 Clock Point,Pedestrian,1,1,9999
1,62141,12 Clock Point,Pedestrian,2,1,9999
0,62141,Non-Harmful Event,Ran Off Roadway - Right,1,1,9999
1,62141,12 Clock Point,Other Fixed Object,2,1,9999
2,62141,Non-Harmful Event,Vehicle Went Airborne,3,1,9999
3,62141,Left-Front Half,Tree (Standing Only),4,1,9999
0,62144,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
0,62145,11 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,62145,Top,Motor Vehicle In-Transport ,2,1,2
0,62146,Non-Harmful Event,End Departure,1,1,9999
1,62146,12 Clock Point,Embankment,2,1,9999
0,62146,12 Clock Point,Pedestrian,1,1,9999
0,62147,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62147,12 Clock Point,Impact Attenuator/Crash Cushion,2,1,9999
2,62147,Non-Collision,Rollover/Overturn,3,1,9999
0,62149,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62149,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
2,62149,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,62149,12 Clock Point,Motor Vehicle In-Transport ,4,1,3
4,62149,12 Clock Point,Motor Vehicle In-Transport ,5,3,4
5,62149,Non-Harmful Event,Ran Off Roadway - Left,6,3,5555
6,62149,Not Reported,Concrete Traffic Barrier,7,3,9999
0,62149,12 Clock Point,Pedestrian,1,1,9999
0,62150,11 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,62150,Not Reported,Pedestrian,2,2,9999
2,62150,Non-Harmful Event,Ran Off Roadway - Left,3,1,5555
3,62150,Not Reported,Concrete Traffic Barrier,4,1,9999
4,62150,Non-Harmful Event,Ran Off Roadway - Left,5,2,5555
5,62150,Not Reported,Concrete Traffic Barrier,6,2,9999
0,62150,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,62155,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,62155,12 Clock Point,Concrete Traffic Barrier,2,1,9999
2,62155,6 Clock Point,Concrete Traffic Barrier,3,1,9999
0,62156,Not Reported,Pedestrian,1,1,9999
0,62160,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62160,Not Reported,Curb,2,1,9999
2,62160,Not Reported,Fence,3,1,9999
3,62160,Not Reported,Mail Box,4,1,9999
4,62160,Not Reported,Fence,5,1,9999
5,62160,Not Reported,Fence,6,1,9999
6,62160,Not Reported,Boulder,7,1,9999
0,62161,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62161,12 Clock Point,Traffic Signal Support,2,1,9999
0,62161,Right-Front Side,Pedestrian,1,1,9999
1,62161,12 Clock Point,Pedestrian,2,2,9999
0,62164,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62164,12 Clock Point,Parked Motor Vehicle ,2,1,2
0,62164,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62164,Undercarriage,Curb,2,1,9999
2,62164,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,62164,12 Clock Point,Motor Vehicle In-Transport ,4,1,2
0,62165,12 Clock Point,Pedestrian,1,1,9999
0,62165,12 Clock Point,Pedestrian,1,1,9999
0,62167,12 Clock Point,Pedestrian,1,1,9999
0,62169,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62169,12 Clock Point,Parked Motor Vehicle ,2,1,2
2,62169,Cargo/Vehicle Parts Set-In-Motion,Parked Motor Vehicle ,3,1,3
3,62169,Cargo/Vehicle Parts Set-In-Motion,Tree (Standing Only),4,1,9999
4,62169,Cargo/Vehicle Parts Set-In-Motion,Parked Motor Vehicle ,5,1,4
0,62170,Non-Collision,Rollover/Overturn,1,1,9999
1,62170,Non-Harmful Event,Cross Centerline,2,1,5555
2,62170,Non-Collision,Fell/Jumped from Vehicle,3,1,9999
3,62170,Not Reported,Motor Vehicle In-Transport ,4,1,2
4,62170,Set-In-Motion (Not a Clock Value),Motor Vehicle In-Transport ,5,1,2
0,62170,12 Clock Point,Pedestrian,1,1,9999
0,62171,Not Reported,Pedestrian,1,1,9999
0,62172,12 Clock Point,Pedestrian,1,1,9999
0,62172,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62172,Undercarriage,Curb,2,1,9999
2,62172,Top,Tree (Standing Only),3,1,9999
3,62172,9 Clock Point,Tree (Standing Only),4,1,9999
0,62175,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62175,12 Clock Point,Tree (Standing Only),2,1,9999
0,62177,Non-Collision,Rollover/Overturn,1,1,9999
1,62177,Not Reported,Guardrail Face,2,1,9999
2,62177,Not Reported,Guardrail Face,3,1,9999
0,62177,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,62177,12 Clock Point,Tree (Standing Only),2,1,9999
0,62178,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62178,12 Clock Point,Pedalcyclist,2,1,9999
2,62178,Other Objects Set-In-Motion,Pedalcyclist,3,1,9999
0,62180,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62180,Non-Collision,Rollover/Overturn,2,1,9999
0,62180,Non-Harmful Event,Ran Off Roadway - Right,1,1,9999
1,62180,Not Reported,Shrubbery,2,1,9999
2,62180,Not Reported,Bridge Rail (Includes parapet),3,1,9999
3,62180,Non-Harmful Event,Vehicle Went Airborne,4,1,9999
4,62180,Non-Collision,Other Non-Collision,5,1,9999
0,62182,Non-Harmful Event,Cross Centerline,1,1,5555
1,62182,Left,Motor Vehicle In-Transport ,2,1,2
2,62182,Cargo/Vehicle Parts Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",3,1,3
0,62184,Non-Harmful Event,Cross Centerline,1,1,5555
1,62184,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
0,62188,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62188,Not Reported,Traffic Sign Support ,2,1,9999
2,62188,Not Reported,Embankment,3,1,9999
3,62188,Non-Collision,Rollover/Overturn,4,1,9999
0,62191,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62191,12 Clock Point,Tree (Standing Only),2,1,9999
2,62191,Not Reported,Tree (Standing Only),3,1,9999
3,62191,Non-Collision,Rollover/Overturn,4,1,9999
0,62192,12 Clock Point,Pedestrian,1,1,9999
1,62192,12 Clock Point,Pedestrian,2,1,9999
0,62193,12 Clock Point,Pedestrian,1,1,9999
0,62194,12 Clock Point,Pedalcyclist,1,1,9999
1,62194,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,62194,Not Reported,Curb,3,1,9999
0,62195,12 Clock Point,Pedestrian,1,1,9999
0,62197,Non-Collision,Rollover/Overturn,1,1,9999
1,62197,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
0,62200,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,62200,Not Reported,Concrete Traffic Barrier,2,1,9999
2,62200,Non-Collision,Rollover/Overturn,3,1,9999
0,62201,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62201,12 Clock Point,Pedestrian,2,1,9999
0,62202,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62202,12 Clock Point,Impact Attenuator/Crash Cushion,2,1,9999
2,62202,Non-Harmful Event,Vehicle Went Airborne,3,1,5555
3,62202,12 Clock Point,Motor Vehicle In-Transport ,4,1,2
4,62202,Undercarriage,Ground,5,1,9999
5,62202,Non-Harmful Event,Ran Off Roadway - Right,6,2,5555
6,62202,Non-Collision,Rollover/Overturn,7,2,9999
0,62203,Non-Harmful Event,Cross Centerline,1,1,5555
1,62203,12 Clock Point,Motor Vehicle In-Transport ,2,2,1
0,62203,Non-Harmful Event,"Equipment Failure (blown tire, brake failure, etc)",1,1,5555
1,62203,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,62203,Unknown,Fence,3,1,9999
3,62203,Non-Collision,Rollover/Overturn,4,1,9999
4,62203,Unknown,"Other Post, Other Pole or Other Supports",5,1,9999
5,62203,Unknown,Other Fixed Object,6,1,9999
6,62203,Unknown,Fence,7,1,9999
0,62203,12 Clock Point,Pedalcyclist,1,1,9999
0,62206,Unknown,Motor Vehicle In-Transport ,1,1,2
0,62207,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62207,12 Clock Point,Fence,2,1,9999
2,62207,Non-Collision,Rollover/Overturn,3,1,9999
0,62208,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62208,Undercarriage,Curb,2,1,9999
2,62208,Unknown,Wall,3,1,9999
3,62208,Unknown,Parked Motor Vehicle ,4,1,2
0,62211,Non-Harmful Event,Cross Centerline,1,1,9999
1,62211,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
0,62213,Non-Harmful Event,Cross Centerline,1,1,5555
1,62213,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,62213,Unknown,Traffic Sign Support ,3,1,9999
3,62213,Unknown,Wall,4,1,9999
4,62213,Unknown,Tree (Standing Only),5,1,9999
5,62213,Non-Collision,Rollover/Overturn,6,1,9999
0,62214,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62214,Undercarriage,Curb,2,1,9999
2,62214,12 Clock Point,Traffic Signal Support,3,1,9999
0,62216,12 Clock Point,Pedestrian,1,1,9999
0,62222,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,62222,9 Clock Point,Tree (Standing Only),2,1,9999
0,62223,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,62224,12 Clock Point,Pedestrian,1,1,9999
0,62224,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62224,Not Reported,Parked Motor Vehicle ,2,1,2
2,62224,Not Reported,Parked Motor Vehicle ,3,1,3
0,62225,12 Clock Point,Pedestrian,1,1,9999
0,62226,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,62226,Non-Harmful Event,Cross Median,2,1,5555
2,62226,12 Clock Point,Motor Vehicle In-Transport ,3,1,2
0,62226,12 Clock Point,Pedestrian,1,1,9999
0,62228,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
1,62228,Non-Harmful Event,Ran Off Roadway - Left,2,2,5555
2,62228,12 Clock Point,Guardrail Face,3,2,9999
3,62228,Non-Harmful Event,Ran Off Roadway - Right,4,1,5555
4,62228,Left,Guardrail Face,5,1,9999
5,62228,Non-Collision,Rollover/Overturn,6,2,9999
6,62228,Left-Back Side,Guardrail Face,7,1,9999
0,62232,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,62232,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,62232,Left,Guardrail Face,3,1,9999
3,62232,Non-Harmful Event,Ran Off Roadway - Left,4,2,5555
4,62232,Left,Guardrail Face,5,2,9999
5,62232,Non-Collision,Rollover/Overturn,6,2,9999
6,62232,Non-Collision,Fire/Explosion,7,1,9999
0,62233,Non-Harmful Event,Cross Centerline,1,1,5555
1,62233,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
2,62233,Non-Collision,Rollover/Overturn,3,1,9999
0,62238,12 Clock Point,Pedestrian,1,1,9999
0,62239,Non-Harmful Event,Cross Centerline,1,1,5555
1,62239,Non-Harmful Event,Cross Centerline,2,1,5555
2,62239,Non-Harmful Event,Cross Centerline,3,1,5555
3,62239,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,62239,12 Clock Point,Mail Box,5,1,9999
5,62239,12 Clock Point,Fence,6,1,9999
6,62239,12 Clock Point,Tree (Standing Only),7,1,9999
7,62239,Right,Wall,8,1,9999
8,62239,Right,Utility Pole/Light Support,9,1,9999
9,62239,Right,Tree (Standing Only),10,1,9999
0,62239,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62239,Not Reported,Curb,2,1,9999
0,62240,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62240,Undercarriage,Curb,2,1,9999
2,62240,Left-Front Side,Traffic Sign Support ,3,1,9999
0,62241,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62241,Not Reported,Concrete Traffic Barrier,2,1,9999
2,62241,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,62241,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,62241,Not Reported,Concrete Traffic Barrier,5,1,9999
0,62241,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62241,Non-Collision,Rollover/Overturn,2,1,9999
0,62243,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62243,Right-Front Side,Guardrail Face,2,1,9999
2,62243,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,62243,Non-Collision,Rollover/Overturn,4,1,9999
4,62243,Not Reported,Motor Vehicle In-Transport ,5,1,2
5,62243,Non-Harmful Event,Ran Off Roadway - Right,6,2,5555
6,62243,Not Reported,Other Fixed Object,7,2,9999
0,62246,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62246,Not Reported,Other Fixed Object,2,1,9999
2,62246,Non-Harmful Event,Vehicle Went Airborne,3,1,5555
3,62246,12 Clock Point,Boulder,4,1,9999
0,62247,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,62255,Non-Harmful Event,Ran Off Roadway - Left,1,1,9999
1,62255,Non-Harmful Event,Re-entering Roadway,2,1,9999
2,62255,Non-Harmful Event,Ran Off Roadway - Right,3,1,9999
3,62255,Not Reported,Embankment,4,1,9999
4,62255,Non-Collision,Rollover/Overturn,5,1,9999
0,62256,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,62256,12 Clock Point,Motor Vehicle In-Transport ,2,1,3
2,62256,12 Clock Point,Motor Vehicle In-Transport ,3,1,4
0,62257,1 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,62257,12 Clock Point,Pedestrian,1,1,9999
0,62260,Non-Harmful Event,Cross Centerline,1,1,5555
1,62260,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,62260,Not Reported,Mail Box,3,1,9999
3,62260,Not Reported,Tree (Standing Only),4,1,9999
4,62260,Set-In-Motion (Not a Clock Point),Parked Motor Vehicle ,5,1,2
5,62260,Not Reported,Tree (Standing Only),6,1,9999
6,62260,Non-Harmful Event,Re-entering Roadway,7,1,5555
7,62260,Non-Harmful Event,Ran Off Roadway - Right,8,1,5555
8,62260,Not Reported,Fence,9,1,9999
0,62262,Not Reported,Pedestrian,1,1,9999
0,62262,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,62262,Right,Motor Vehicle In-Transport ,2,2,3
2,62262,Non-Harmful Event,Ran Off Roadway - Right,3,1,5555
3,62262,6 Clock Point,Concrete Traffic Barrier,4,1,9999
4,62262,12 Clock Point,Motor Vehicle In-Transport ,5,4,2
5,62262,Cargo/Vehicle Parts Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",6,1,5
6,62262,Non-Collision,Rollover/Overturn,7,4,9999
7,62262,Cargo/Vehicle Parts Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",8,1,6
8,62262,Cargo/Vehicle Parts Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",9,1,7
9,62262,Cargo/Vehicle Parts Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",10,1,8
10,62262,Cargo/Vehicle Parts Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",11,1,9
11,62262,Cargo/Vehicle Parts Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",12,1,10
12,62262,Non-Collision,Fire/Explosion,13,1,9999
13,62262,Non-Collision,Fire/Explosion,14,2,9999
0,62265,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62265,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,62265,Non-Collision,Rollover/Overturn,3,1,9999
0,62267,Non-Harmful Event,Ran Off Roadway - Right,1,1,9999
1,62267,Undercarriage,Curb,2,1,9999
2,62267,9 Clock Point,Tree (Standing Only),3,1,9999
0,62269,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62269,Not Reported,Guardrail Face,2,1,9999
0,62269,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62269,12 Clock Point,Parked Motor Vehicle ,2,1,2
0,62275,Right-Front Side,Pedestrian,1,1,9999
0,62276,12 Clock Point,Pedestrian,1,1,9999
0,62277,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,62279,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,62279,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,62279,Non-Harmful Event,Ran Off Roadway - Right,3,1,5555
3,62279,Non-Collision,Rollover/Overturn,4,1,9999
0,62281,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,62281,Left,Curb,2,1,9999
2,62281,Non-Collision,Rollover/Overturn,3,1,9999
0,62281,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,62282,12 Clock Point,Pedestrian,1,1,9999
0,62282,Non-Collision,Rollover/Overturn,1,1,9999
1,62282,Non-Harmful Event,Cross Centerline,2,1,5555
2,62282,12 Clock Point,Motor Vehicle In-Transport ,3,1,2
0,62283,2 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,62283,12 Clock Point,Motor Vehicle In-Transport ,2,1,3
2,62283,Non-Collision,Fire/Explosion,3,1,9999
3,62283,Non-Collision,Fire/Explosion,4,3,9999
4,62283,12 Clock Point,Motor Vehicle In-Transport ,5,3,4
5,62283,12 Clock Point,Motor Vehicle In-Transport ,6,1,5
0,62285,12 Clock Point,Pedestrian,1,1,9999
0,62288,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,62288,Not Reported,Motor Vehicle In-Transport ,2,1,3
2,62288,Non-Harmful Event,Ran Off Roadway - Right,3,3,5555
3,62288,Non-Harmful Event,Re-entering Roadway,4,3,5555
4,62288,12 Clock Point,Motor Vehicle In-Transport ,5,4,3
0,62288,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,62288,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,62288,Not Reported,Curb,3,1,9999
3,62288,Not Reported,Traffic Sign Support ,4,1,9999
4,62288,Non-Collision,Rollover/Overturn,5,1,9999
5,62288,Not Reported,Traffic Sign Support ,6,1,9999
6,62288,Left-Back Side,Motor Vehicle In-Transport ,7,2,3
7,62288,12 Clock Point,Motor Vehicle In-Transport ,8,3,4
0,62289,12 Clock Point,Pedestrian,1,1,9999
0,62290,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,62290,12 Clock Point,Curb,2,1,9999
2,62290,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",3,1,2
0,62290,Not Reported,Pedestrian,1,1,9999
0,62291,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62291,12 Clock Point,Traffic Sign Support ,2,1,9999
2,62291,Non-Harmful Event,Cross Centerline,3,1,5555
3,62291,Non-Harmful Event,Ran Off Roadway - Right,4,1,5555
4,62291,Non-Collision,Rollover/Overturn,5,1,9999
5,62291,Not Reported,Fence,6,1,9999
0,62291,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,62291,Undercarriage,Curb,2,1,9999
2,62291,12 Clock Point,Tree (Standing Only),3,1,9999
3,62291,12 Clock Point,Tree (Standing Only),4,1,9999
0,62291,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,62293,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62293,Not Reported,Guardrail Face,2,1,9999
2,62293,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",3,1,2
3,62293,Not Reported,Guardrail Face,4,1,9999
0,62295,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,62295,Non-Harmful Event,Cross Median,2,1,5555
2,62295,3 Clock Point,Motor Vehicle In-Transport ,3,1,2
0,62299,12 Clock Point,Pedestrian,1,1,9999
0,62300,Right-Front Side,Motor Vehicle In-Transport ,1,2,1
1,62300,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,62300,Non-Harmful Event,Ran Off Roadway - Right,3,2,5555
3,62300,Non-Collision,Rollover/Overturn,4,2,9999
4,62300,Not Reported,Tree (Standing Only),5,2,9999
5,62300,12 Clock Point,Motor Vehicle In-Transport ,6,2,1
0,62302,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62302,12 Clock Point,Pedestrian,2,1,9999
0,62305,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,62305,Non-Collision,Rollover/Overturn,2,2,9999
0,62309,12 Clock Point,Pedestrian,1,1,9999
0,62309,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62309,12 Clock Point,Parked Motor Vehicle ,2,1,2
2,62309,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",3,1,3
0,62310,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,62310,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,62312,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,62312,12 Clock Point,Pedestrian,2,1,9999
0,62312,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,62312,Non-Harmful Event,Cross Median,2,1,5555
2,62312,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,62312,12 Clock Point,Curb,4,1,9999
4,62312,Non-Harmful Event,Vehicle Went Airborne,5,1,5555
5,62312,Not Reported,Traffic Signal Support,6,1,9999
6,62312,Not Reported,Tree (Standing Only),7,1,9999
0,62312,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62312,12 Clock Point,Guardrail End,2,1,9999
2,62312,Non-Harmful Event,Vehicle Went Airborne,3,1,5555
3,62312,Undercarriage,Ground,4,1,9999
4,62312,11 Clock Point,Guardrail Face,5,1,9999
5,62312,12 Clock Point,"Other Post, Other Pole or Other Supports",6,1,9999
0,62313,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,62313,Not Reported,Embankment,2,1,9999
2,62313,Non-Collision,Rollover/Overturn,3,1,9999
0,62314,Non-Harmful Event,Cross Centerline,1,1,9999
1,62314,Left,Motor Vehicle In-Transport ,2,1,2
2,62314,Non-Harmful Event,Cross Centerline,3,1,9999
3,62314,Non-Collision,Rollover/Overturn,4,3,9999
4,62314,Non-Harmful Event,Ran Off Roadway - Right,5,1,9999
5,62314,Undercarriage,Fence,6,1,9999
0,62314,12 Clock Point,Pedestrian,1,1,9999
0,62315,Non-Collision,Rollover/Overturn,1,1,9999
1,62315,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,62315,Not Reported,Parked Motor Vehicle ,3,1,2
0,62316,9 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,62317,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,62317,Right,Motor Vehicle In-Transport ,1,1,2
1,62317,Non-Harmful Event,Ran Off Roadway - Right,2,2,5555
2,62317,Non-Harmful Event,Ran Off Roadway - Right,3,1,5555
3,62317,Not Reported,Culvert,4,2,9999
4,62317,Not Reported,Embankment,5,1,9999
5,62317,Non-Collision,Rollover/Overturn,6,1,9999
0,62320,12 Clock Point,Pedestrian,1,1,9999
0,62321,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62321,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,62321,Non-Harmful Event,Cross Centerline,3,1,5555
3,62321,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,62321,Left-Back Half,Tree (Standing Only),5,1,9999
5,62321,Non-Harmful Event,Vehicle Went Airborne,6,1,5555
6,62321,Left-Front Half,Tree (Standing Only),7,1,9999
7,62321,Non-Collision,Rollover/Overturn,8,1,9999
0,62321,12 Clock Point,Pedestrian,1,1,9999
0,62322,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62322,Undercarriage,Curb,2,1,9999
2,62322,Not Reported,Embankment,3,1,9999
3,62322,Non-Harmful Event,Re-entering Roadway,4,1,5555
4,62322,Non-Harmful Event,Cross Centerline,5,1,5555
5,62322,Non-Harmful Event,Ran Off Roadway - Left,6,1,5555
6,62322,Undercarriage,Curb,7,1,9999
7,62322,Not Reported,Embankment,8,1,9999
8,62322,Non-Collision,Rollover/Overturn,9,1,9999
9,62322,Not Reported,Guardrail Face,10,1,9999
10,62322,Not Reported,Traffic Sign Support ,11,1,9999
11,62322,Not Reported,Traffic Sign Support ,12,1,9999
0,62322,12 Clock Point,Non-Motorist on Personal Conveyance,1,1,9999
0,62323,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,62326,Left-Front Side,Pedestrian,1,1,9999
0,62327,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
0,62327,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62327,5 Clock Point,Wall,2,1,9999
2,62327,5 Clock Point,Boulder,3,1,9999
3,62327,Non-Harmful Event,Re-entering Roadway,4,1,5555
4,62327,Non-Harmful Event,Cross Centerline,5,1,5555
5,62327,8 Clock Point,Motor Vehicle In-Transport ,6,1,2
0,62329,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62329,Right,Other Fixed Object,2,1,9999
0,62330,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62330,Undercarriage,Curb,2,1,9999
2,62330,Non-Collision,Fell/Jumped from Vehicle,3,1,9999
3,62330,Not Reported,Embankment,4,1,9999
0,62333,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62333,Not Reported,Other Object (not fixed),2,1,9999
2,62333,12 Clock Point,Utility Pole/Light Support,3,1,9999
3,62333,Non-Collision,Rollover/Overturn,4,1,9999
4,62333,Non-Collision,Thrown or Falling Object,5,1,9999
0,62333,12 Clock Point,Pedestrian,1,1,9999
0,62335,12 Clock Point,Pedestrian,1,1,9999
0,62336,12 Clock Point,Pedestrian,1,1,9999
0,62337,Right,Motor Vehicle In-Transport ,1,1,2
0,62338,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,62338,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,62338,Non-Harmful Event,Cross Centerline,3,1,5555
3,62338,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
